producto_id,producto,codigo_interno,codigo_barras,precio_venta_actual,costo_compra_actual,flete_actual,ganancia_actual,inventario_id,almacen_id,almacen,stock_almacen,reservado,variante_id,talla,color,color_hex,stock_variante
583,"BLUSA SE GAZA",GINBM1-022,GINBM1-022,285,,,,653,,,6,0,1021,G,CAFE,#5a1c00,1
583,"BLUSA SE GAZA",GINBM1-022,GINBM1-022,285,,,,653,,,6,0,1022,G,BEIGE,#fff2d5,1
584,"VESTIDO CORTO",GINBA1-06,GINBA1-06,835,,,,654,,,2,0,1039,P,BEIGE,#fee4a8,1
584,"VESTIDO CORTO",GINBA1-06,GINBA1-06,835,,,,654,,,2,0,1040,M,NEGRO,"",1
585,"VESTIDO LARGO",GINBA1-05,GINBA1-05,452,,,,655,,,2,0,1047,UNICA,CAMEL,#a96800,1
585,"VESTIDO LARGO",GINBA1-05,GINBA1-05,452,,,,655,,,2,0,1048,UNICA,BEIGE,#ffecd4,1
585,"VESTIDO LARGO",GINBA1-05,GINBA1-05,452,,,,655,,,2,0,1049,UNICA,"CAFÉ",#5c0701,1
586,"VESTIDO LARGO",GINBA1-09,GINBA1-09,769,,,,656,,,2,0,1027,P,BEIGE,#fff2d5,1
586,"VESTIDO LARGO",GINBA1-09,GINBA1-09,769,,,,656,,,2,0,1028,P,NEGRA,"",1
587,"VESTIDO LARGO",GINBA1-009,GINBA1-009,769,,,,657,,,1,0,1029,P,ARENA,#ffd9a8,1
588,"VESTIDO LARGOS",GINBA1-0009,GINBA1-0009,769,,,,658,,,2,0,1030,P,CAFE,#5a1c00,1
588,"VESTIDO LARGOS",GINBA1-0009,GINBA1-0009,769,,,,658,,,2,0,1031,P,AZUL,#011d57,1
589,"ENTERIZO LARGO",GINBA1-00009,GINBA1-00009,759,,,,659,,,1,0,1032,P,"CAFÉ CLARO",#7a4a00,1
590,"VESTIDO LARGO",GINBA01-09,GINBA01-09,749,,,,660,,,1,0,1033,P,"CAFÉ CLARO",#7b2900,1
591,"VESTIDO LARGO",GINBA1-08,GINBA1-08,727,,,,661,,,2,0,1034,P,AZUL,#011d57,1
